#{"t_start": 1732831796.8032212, "env_id": "None"}
r,l,t
-94.03651,4,1.474275
-85.797295,7,1.474297
-95.33495,6,1.477642
-95.32179,3,1.479494
-95.7058,4,1.479524
-98.118965,2,1.482916
-79.37471,9,1.48929
-91.12372,5,1.491046
-96.71913,3,1.494404
-98.118965,2,1.494426
-76.316444,10,1.49612
-98.24951,2,1.497815
-98.118965,2,1.499614
-73.16951,16,1.499636
-64.51013,15,1.502884
-92.71978,4,1.506177
-93.95398,3,1.507864
-91.43308,6,1.509568
-21.618088,29,1.511376
-97.98548,2,1.511398
-90.089035,5,1.516381
-92.982895,4,1.518101
-92.692566,4,1.519865
-98.24951,2,1.523262
-63.39653,16,1.523297
-72.79321,15,1.525022
-87.74966,6,1.526767
-86.2081,6,1.528499
-93.95717,3,1.530351
-93.78695,4,1.530372
-98.011986,2,1.532204
-79.35797,11,1.532226
-90.364075,6,1.533999
-96.06577,6,1.537854
-94.9247,4,1.537877
-97.852104,3,1.537889
-90.94333,4,1.537898
-97.81433,3,1.537907
-98.118965,2,1.541326
-93.14784,4,1.541348
-98.24951,2,1.544775
-91.629974,4,1.544797
-91.97297,4,1.548216
-87.58648,6,1.548237
-89.60472,7,1.549965
-97.15528,2,1.553517
-88.71606,5,1.553539
-89.74864,5,1.553551
-98.118965,2,1.557086
-90.193184,5,1.557108
-87.43594,5,1.55712
-93.4276,5,1.562131
-97.14538,3,1.562153
-87.60626,7,1.568581
-97.81772,2,1.571885
-70.90384,14,1.580051
-90.97194,5,1.580072
-59.76996,18,1.583425
-65.81795,14,1.585278
-93.999985,3,1.5853
-24.042694,29,1.587139
-98.24951,2,1.587161
-94.08075,5,1.588865
-94.946815,3,1.590702
-97.7717,3,1.590723
-64.05348,18,1.592555
-96.33598,3,1.592576
-97.73163,3,1.594295
-98.24951,2,1.597571
-92.72014,4,1.5994
-85.483444,7,1.599422
-98.118965,2,1.601128
-85.13837,8,1.604438
-97.0673,3,1.606154
-93.16057,6,1.609473
-95.63137,3,1.611202
-69.54553,13,1.613039
-97.92575,2,1.613061
-85.680565,6,1.614896
-98.118965,2,1.614918
-67.00924,14,1.616658
-98.118965,2,1.620217
-98.118965,2,1.62024
-92.639015,5,1.626749
-89.93284,4,1.626781
-76.42412,16,1.628472
-81.98712,9,1.630279
-94.063675,3,1.63352
-91.33864,5,1.635463
-95.61403,3,1.635488
-98.24951,2,1.638892
-95.93544,3,1.638914
-72.07792,12,1.640692
-63.54458,16,1.64279
-92.90626,4,1.642812
-98.10598,2,1.642824
-91.69211,4,1.646165
-97.78024,3,1.648002
-98.24951,2,1.64975
-89.27243,5,1.651788
-86.60364,6,1.651809
-98.24951,2,1.651821
-94.1936,5,1.65183
-63.436077,15,1.653521
-93.56393,3,1.656765
-92.234215,5,1.658466
-90.32347,5,1.660167
-94.1653,3,1.661865
-98.100655,2,1.663574
-76.27399,10,1.668771
-77.52163,10,1.668793
-93.087494,4,1.668804
-86.86174,6,1.668813
-82.599525,9,1.668821
-93.21088,4,1.670507
-98.24951,2,1.672195
-94.00357,3,1.67388
-97.68092,2,1.677219
-91.48342,5,1.67724
-82.68376,7,1.680472
-95.53731,4,1.686857
-74.961555,9,1.686878
-70.05803,13,1.690098
-82.68204,11,1.694886
-76.115036,12,1.696697
-91.381165,4,1.696718
-98.118965,2,1.698524
-87.55426,7,1.698545
-73.80976,11,1.704986
-95.7703,4,1.705007
-94.868195,5,1.706719
-89.81735,7,1.708542
-97.50605,2,1.708563
-98.24951,2,1.710391
-95.90239,3,1.710412
-98.24951,2,1.712115
-28.136703,26,1.714039
-79.56383,10,1.714061
-98.118965,2,1.714073
-97.858765,2,1.715751
-88.63153,5,1.717438
-90.39235,5,1.720836
-93.791885,6,1.725966
-97.367355,3,1.72599
-86.36044,7,1.729374
-97.932365,2,1.729395
-85.68757,9,1.731116
-83.154915,10,1.73284
-98.118965,2,1.734698
-94.53047,3,1.734733
-88.92349,6,1.73654
-87.85017,6,1.739913
-94.503746,4,1.739934
-91.451485,5,1.74333
-68.64668,15,1.745004
-88.691956,5,1.748377
-82.93853,7,1.748398
-95.028435,6,1.750129
-95.37668,5,1.751911
-91.62054,4,1.751932
-70.90047,11,1.753658
-98.24951,2,1.757033
-97.70846,3,1.757055
-98.118965,2,1.76027
-78.63486,9,1.763494
-97.62915,3,1.76518
-83.664566,10,1.767027
-79.19618,9,1.767048
-95.44295,4,1.77039
-97.63256,3,1.770411
-95.96453,3,1.772098
-98.24951,2,1.773898
-62.377556,15,1.773919
-89.45729,5,1.775603
-93.56278,4,1.778953
-63.524487,13,1.778974
-95.59355,4,1.780655
-86.9206,5,1.782355
-98.2079,3,1.784072
-95.83568,3,1.785771
-89.00211,5,1.787475
-89.54715,8,1.789172
-72.81849,12,1.79086
-92.28201,4,1.794105
-76.556435,9,1.79736
-84.500984,8,1.799159
-88.86709,5,1.79918
-83.52958,7,1.800974
-98.118965,2,1.800996
-91.74537,7,1.805793
-95.31308,4,1.807616
-74.2767,14,1.807636
-88.18062,6,1.809314
-87.15714,7,1.81102
-96.70541,3,1.812932
-87.31959,7,1.812957
-98.24951,2,1.812968
-87.69848,7,1.817774
-90.97943,5,1.819571
-92.81268,4,1.819592
-88.93735,8,1.821302
-95.16668,3,1.824827
-98.118965,2,1.824851
-95.67624,3,1.826548
-95.24367,3,1.828349
-98.24951,2,1.82837
-85.99726,9,1.830062
-98.118965,2,1.831743
-70.91381,11,1.833461
-92.71275,5,1.837023
-91.6604,4,1.838768
-85.15779,8,1.840613
-89.28852,6,1.840634
-98.118965,2,1.844275
-68.322174,12,1.846083
-96.05574,4,1.846105
-90.61885,5,1.849539
-81.12036,7,1.849561
-96.237885,3,1.851242
-98.24951,2,1.853038
-98.24951,2,1.853059
-66.482925,12,1.854743
-98.118965,2,1.856433
-98.118965,2,1.859792
-80.51213,8,1.859814
-84.054794,7,1.86304
-97.55498,3,1.864721
-75.597305,10,1.86972
-93.18185,4,1.869742
-70.738235,15,1.869753
-98.24951,2,1.873082
-73.31741,11,1.873103
-96.5842,3,1.874791
-98.24951,2,1.876505
-85.16484,6,1.879759
-90.08472,5,1.884533
-83.77024,7,1.886325
-69.53641,13,1.886346
-65.13316,17,1.888015
-97.39616,2,1.889709
-89.720695,5,1.893159
-92.54972,4,1.893181
-97.66877,2,1.893193
-67.028595,14,1.896529
-98.118965,2,1.89655
-89.68326,8,1.90154
-70.21017,13,1.901561
-87.96081,5,1.901573
-98.118965,2,1.905108
-91.198685,7,1.905136
-92.297844,6,1.906895
-90.194244,5,1.910189
-97.0111,3,1.912006
-77.737076,9,1.912028
-88.2875,5,1.913961
-89.965385,5,1.913982
-87.94979,7,1.913993
-93.857445,3,1.91578
-98.118965,2,1.915801
-96.3224,4,1.920747
-91.60615,4,1.920768
-93.96155,6,1.922469
-98.118965,2,1.927437
-89.04137,7,1.92925
-95.087166,4,1.929271
-88.72012,8,1.930967
-97.7951,2,1.93421
-90.20941,5,1.937747
-86.80302,6,1.944513
-71.48973,17,1.944536
-73.486694,10,1.946234
-92.25969,6,1.948239
-71.39619,12,1.94826
-98.118965,2,1.948272
-93.697365,4,1.951665
-98.24951,2,1.951686
-96.28879,3,1.953391
-68.04749,19,1.955089
-95.66604,4,1.960102
-91.11114,5,1.960123
-86.95733,8,1.961923
-96.92172,4,1.961945
-81.97773,7,1.963742
-98.118965,2,1.963763
-75.63279,11,1.965558
-98.24951,2,1.965579
-98.24951,2,1.967373
-95.152885,4,1.967394
-90.60783,4,1.970734
-94.516655,3,1.970755
-92.982895,4,1.974155
-97.74061,2,1.974177
-86.86669,6,1.975879
-83.45395,10,1.979242
-97.07654,3,1.979263
-86.48148,8,1.980959
-98.24951,2,1.982672
-90.69554,5,1.984387
-80.21503,10,1.987775
-98.24951,2,1.987796
-93.4451,4,1.989603
-90.4126,5,1.989629
-85.82817,7,1.991312
-95.944016,3,1.993021
-81.797905,12,1.994725
