#{"t_start": 1732830348.7129197, "env_id": "None"}
r,l,t
-91.65564,10,2.147622
-94.80377,6,2.150977
-97.077614,3,2.153056
-103.0,4,2.153089
-87.63778,5,2.153103
-94.90978,5,2.153112
-87.29205,7,2.15485
-92.66112,3,2.15823
-97.0,3,2.15998
-93.93449,3,2.1635
-90.18828,6,2.163522
-89.87377,8,2.16724
-83.91519,8,2.167268
-101.0,2,2.16728
-89.53966,5,2.169041
-76.8766,11,2.170796
-93.39451,3,2.172543
-97.94337,2,2.174314
-84.52356,7,2.179252
-70.77869,10,2.181024
-84.09027,9,2.18278
-101.0,2,2.186156
-85.00168,5,2.18793
-96.55362,5,2.189681
-75.47291,14,2.193284
-95.571724,3,2.193307
-85.84214,11,2.193335
-101.0,2,2.196749
-97.764534,3,2.198504
-70.53277,16,2.20027
-93.141884,6,2.203662
-88.16756,12,2.207274
-101.0,2,2.207298
-84.2739,10,2.20731
-91.91038,6,2.210834
-101.0,2,2.210858
-97.15184,3,2.212697
-93.58196,5,2.219415
-91.601555,12,2.219439
-89.64111,6,2.221295
-92.77568,8,2.221318
-97.07489,3,2.226313
-99.30143,4,2.228283
-91.15923,8,2.228306
-97.04855,3,2.228318
-101.39562,4,2.230081
-94.61495,3,2.233666
-101.0,2,2.233689
-96.55636,3,2.233702
-84.65758,21,2.236035
-95.32824,3,2.239421
-95.86814,5,2.242858
-83.47647,8,2.242881
-98.398926,7,2.247806
-74.82145,13,2.249774
-86.37382,9,2.249796
-94.58759,6,2.249808
-97.55054,3,2.253249
-101.0,2,2.253271
-94.56774,7,2.25502
-98.05312,5,2.258369
-89.43441,6,2.260106
-84.52383,12,2.26353
-92.62718,6,2.263553
-88.58043,7,2.265345
-86.86038,7,2.267158
-93.54385,3,2.269041
-101.0,2,2.269063
-98.30554,2,2.272413
-93.69692,4,2.275861
-96.48509,9,2.275884
-101.0,2,2.279377
-93.112595,4,2.2794
-89.85144,4,2.282735
-66.25816,16,2.286056
-95.33456,5,2.287852
-85.742004,15,2.2896
-97.35918,2,2.291351
-86.168236,9,2.294843
-82.036964,7,2.294866
-93.213104,4,2.298348
-101.0,2,2.29837
-89.53549,8,2.300247
-65.9547,19,2.300269
-92.50398,4,2.302135
-101.0,2,2.302158
-95.72314,4,2.307129
-99.904594,5,2.308999
-84.17483,11,2.309022
-101.0,2,2.312599
-90.33263,6,2.312622
-93.92009,8,2.312634
-90.46986,9,2.317826
-97.51863,3,2.317849
-90.85632,5,2.317861
-90.14852,5,2.321441
-98.67856,5,2.321464
-99.8167,2,2.321476
-94.69942,5,2.328186
-97.020355,3,2.32821
-95.060356,4,2.329948
-101.0,2,2.333275
-99.02977,5,2.33686
-78.5998,16,2.336885
-75.911,10,2.336897
-97.01771,3,2.342087
-85.05368,5,2.34211
-88.078354,8,2.342122
-93.004456,4,2.343862
-94.42939,5,2.345825
-101.0,2,2.345847
-101.0,2,2.34586
-77.00821,14,2.347592
-101.0,2,2.351041
-97.187164,3,2.351063
-95.418236,6,2.354809
-85.28758,7,2.354831
-98.31238,2,2.354844
-88.80023,5,2.354853
-82.88155,6,2.356574
-101.0,2,2.359932
-97.49676,4,2.361689
-86.09799,7,2.36343
-98.15715,3,2.365233
-81.29116,7,2.367165
-98.5332,2,2.369185
-97.16665,8,2.369207
-82.05537,8,2.369219
-101.0,2,2.372969
-101.0,2,2.372991
-101.0,2,2.373004
-96.72357,3,2.373013
-101.0,2,2.376584
-101.0,2,2.376606
-82.103584,8,2.376618
-99.467865,4,2.380129
-101.0,2,2.380152
-89.7819,5,2.381899
-90.96842,4,2.383881
-98.227264,2,2.383903
-99.23356,2,2.383916
-71.477844,13,2.387254
-97.23718,3,2.388999
-96.56114,3,2.39236
-86.32376,7,2.394217
-95.65725,3,2.394238
-84.64841,11,2.395967
-101.0,2,2.397703
-88.32738,5,2.401254
-91.3871,10,2.401277
-89.45586,4,2.401289
-101.0,2,2.404634
-100.90115,7,2.407973
-91.99744,5,2.409712
-75.845024,17,2.413047
-96.12138,3,2.415036
-94.62357,6,2.415058
-87.87261,10,2.415071
-85.081604,6,2.418427
-82.91816,11,2.420286
-96.30284,3,2.420309
-101.0,2,2.422056
-93.4139,3,2.425416
-91.09473,7,2.429082
-91.411766,8,2.429106
-96.95576,3,2.42912
-92.05716,5,2.430865
-83.80791,9,2.432606
-101.0,2,2.435916
-91.650604,6,2.437659
-101.0,2,2.439813
-83.975426,8,2.443264
-93.48146,3,2.443287
-86.933464,8,2.445247
-87.143326,9,2.44527
-97.11002,3,2.445282
-97.0004,3,2.450286
-78.09017,14,2.453852
-94.62839,5,2.453874
-90.51161,7,2.455595
-94.6564,4,2.457339
-94.01361,10,2.460693
-97.02339,3,2.462618
-98.31698,5,2.462641
-80.86885,12,2.466316
-97.69429,3,2.468231
-90.048,7,2.468254
-101.0,2,2.471654
-82.671326,7,2.473407
-96.98426,4,2.475274
-91.03105,5,2.475296
-85.941414,8,2.47704
-101.0,2,2.480639
-96.056305,3,2.480662
-96.41798,5,2.480675
-101.0,2,2.484019
-88.93329,7,2.485881
-79.353134,18,2.485904
-86.337234,7,2.487642
-99.04572,2,2.489494
-91.15297,5,2.489517
-101.0,2,2.491255
-97.58298,7,2.493116
-99.15406,2,2.493138
-97.07322,3,2.494877
-88.89557,7,2.496744
-101.0,2,2.496767
-99.22066,4,2.498512
-91.53721,8,2.500474
-97.44047,2,2.500496
-93.11537,4,2.500508
-101.0,2,2.502238
-97.31217,2,2.504112
-98.79032,2,2.504134
