#{"t_start": 1732834778.5374675, "env_id": "None"}
r,l,t
-96.0,2,1.470488
-96.0,2,1.472299
-32.0,18,1.474232
-96.0,2,1.474255
-60.0,11,1.476173
-96.0,2,1.476196
-76.0,7,1.477998
-68.0,9,1.479919
-96.0,2,1.479943
-92.0,3,1.481741
-92.0,3,1.483543
-80.0,6,1.485342
-88.0,4,1.487269
-88.0,4,1.487293
-92.0,3,1.489218
-88.0,4,1.489241
-92.0,3,1.491046
-88.0,4,1.494486
-96.0,2,1.498132
-80.0,6,1.498155
-84.0,5,1.498174
-76.0,7,1.501741
-80.0,6,1.501775
-40.0,16,1.503721
-92.0,3,1.503747
-96.0,2,1.505712
-88.0,4,1.505735
-92.0,3,1.507538
-96.0,2,1.509353
-76.0,7,1.511235
-96.0,2,1.511257
-76.0,7,1.516336
-60.0,11,1.522889
-68.0,9,1.524652
-68.0,9,1.52656
-96.0,2,1.526583
-48.0,14,1.530176
-60.0,11,1.530199
-72.0,8,1.530217
-84.0,5,1.533564
-92.0,3,1.535428
-84.0,5,1.535451
-88.0,4,1.537226
-80.0,6,1.540585
-96.0,2,1.544278
-84.0,5,1.544301
-84.0,5,1.545931
-80.0,6,1.545963
-96.0,2,1.549444
-56.0,12,1.549467
-72.0,8,1.552834
-92.0,3,1.554598
-84.0,5,1.558105
-72.0,8,1.559993
-92.0,3,1.560016
-68.0,9,1.562024
-96.0,2,1.563783
-60.0,11,1.565634
-88.0,4,1.567524
-72.0,8,1.567548
-96.0,2,1.569328
-84.0,5,1.575938
-84.0,5,1.577833
-60.0,11,1.577857
-80.0,6,1.58758
-68.0,9,1.592528
-40.0,16,1.594302
-56.0,12,1.596305
-96.0,2,1.596328
-28.0,19,1.596347
-96.0,2,1.599693
-68.0,9,1.603049
-84.0,5,1.605294
-84.0,5,1.605319
-4.0,25,1.605337
-76.0,7,1.607124
-88.0,4,1.612198
-76.0,7,1.612221
-84.0,5,1.613982
-96.0,2,1.615751
-68.0,9,1.620811
-84.0,5,1.620834
-64.0,10,1.624444
-84.0,5,1.624472
-92.0,3,1.626383
-96.0,2,1.628198
-80.0,6,1.631713
-88.0,4,1.631741
-92.0,3,1.633511
-84.0,5,1.635385
-96.0,2,1.635408
-52.0,13,1.63719
-88.0,4,1.640582
-80.0,6,1.64248
-16.0,22,1.642503
-96.0,2,1.645987
-80.0,6,1.64601
-76.0,7,1.649457
-96.0,2,1.652828
-88.0,4,1.654587
-72.0,8,1.656359
-92.0,3,1.661785
-84.0,5,1.663796
-68.0,9,1.66382
-60.0,11,1.663838
-40.0,16,1.667385
-72.0,8,1.667408
-92.0,3,1.669512
-92.0,3,1.669535
-92.0,3,1.669553
-88.0,4,1.669566
-92.0,3,1.673162
-96.0,2,1.673185
-96.0,2,1.673203
-88.0,4,1.676583
-84.0,5,1.678364
-88.0,4,1.680149
-92.0,3,1.681932
-96.0,2,1.6837
-88.0,4,1.685469
-96.0,2,1.68732
-72.0,8,1.687343
-56.0,12,1.689238
-96.0,2,1.68926
-96.0,2,1.692757
-92.0,3,1.69278
-92.0,3,1.694566
-96.0,2,1.696337
-64.0,10,1.699812
-88.0,4,1.699836
-84.0,5,1.705014
-64.0,10,1.705042
-28.0,19,1.706869
-96.0,2,1.708808
-72.0,8,1.70883
-80.0,6,1.710622
-92.0,3,1.714222
-92.0,3,1.714245
-72.0,8,1.714263
-88.0,4,1.717673
-92.0,3,1.719471
-88.0,4,1.721238
-64.0,10,1.724631
-84.0,5,1.726564
-92.0,3,1.726587
-76.0,7,1.73158
-84.0,5,1.735098
-80.0,6,1.735121
-32.0,18,1.736911
-96.0,2,1.738685
-92.0,3,1.742089
-36.0,17,1.74397
-76.0,7,1.743993
-60.0,11,1.74591
-88.0,4,1.745932
-96.0,2,1.747714
-72.0,8,1.751328
-96.0,2,1.751351
-92.0,3,1.754956
-84.0,5,1.759988
-64.0,10,1.763898
-76.0,7,1.763923
-64.0,10,1.765853
