#{"t_start": 1732827226.3993359, "env_id": "None"}
r,l,t
-78.4349,12,1.498972
-99.634636,5,1.500875
-97.87594,3,1.500899
-103.0,4,1.502642
-101.0,2,1.506084
-93.70776,4,1.508003
-90.93468,5,1.508027
-84.84432,12,1.509825
-101.0,2,1.511741
-72.52668,13,1.511765
-96.91264,3,1.513573
-97.016266,3,1.517015
-85.69038,10,1.518816
-85.95067,6,1.520736
-101.0,2,1.520759
-93.938896,6,1.52431
-100.31379,2,1.524334
-88.97504,8,1.52643
-89.07668,4,1.526456
-101.0,2,1.530138
-101.0,2,1.530164
-101.0,2,1.533726
-94.98139,3,1.535527
-80.82243,16,1.537366
-90.14231,5,1.542432
-90.28551,9,1.544362
-90.63673,4,1.544385
-97.73414,2,1.548067
-81.39849,7,1.548091
-86.189514,14,1.54811
-97.565956,3,1.550014
-93.52463,4,1.550038
-101.0,2,1.551826
-72.48981,14,1.553618
-96.89844,4,1.555437
-97.212234,5,1.558925
-93.15757,6,1.560857
-85.02299,7,1.560881
-89.901505,5,1.562732
-89.47734,7,1.564522
-99.0601,2,1.566453
-97.01903,3,1.566477
-91.29631,4,1.571514
-79.92155,14,1.579888
-87.00043,9,1.581918
-79.059235,13,1.581942
-85.92703,9,1.587127
-83.10269,15,1.58715
-89.73001,5,1.588953
-101.0,2,1.590749
-91.247925,5,1.595923
-56.990673,21,1.602623
-80.813736,10,1.607807
-83.44633,15,1.60783
-97.6134,3,1.613007
-74.63571,18,1.613029
-70.80833,10,1.613042
-72.54618,17,1.61823
-85.68789,10,1.620053
-89.49894,5,1.622003
-101.0,2,1.623914
-93.09674,6,1.623938
-82.984085,8,1.628005
-97.509865,3,1.629957
-84.51873,6,1.629982
-97.59088,3,1.63521
-99.44099,2,1.635235
-101.0,2,1.638724
-101.07885,4,1.638747
-84.480835,9,1.64225
-97.505974,10,1.642272
-98.07708,3,1.644262
-97.66509,5,1.644284
-63.957767,19,1.644296
-92.09963,5,1.647871
-96.11978,3,1.649732
-96.03065,4,1.649755
-96.1516,6,1.654987
-93.80782,4,1.65501
-82.20439,8,1.656729
-101.0,2,1.658533
-93.368385,4,1.661932
-83.84834,11,1.663785
-91.354126,8,1.663807
-90.36391,5,1.667352
-100.23849,2,1.667374
-83.12879,10,1.667386
-97.56284,3,1.669125
-95.58686,6,1.67247
-101.0,2,1.675802
-81.47653,7,1.679372
-88.7995,7,1.679394
-92.63634,6,1.679406
-98.596436,3,1.68115
-101.0,2,1.682891
-61.936676,16,1.684633
-97.0011,3,1.687987
-89.499,8,1.693098
-98.18826,3,1.693125
-94.41902,3,1.698305
-80.526855,8,1.698328
-81.620964,12,1.701784
-101.0,2,1.701806
-95.28693,4,1.70517
-91.743195,8,1.70692
-86.89276,5,1.710293
-89.17336,6,1.712039
-52.86595,27,1.713793
-94.93741,6,1.715545
-92.22472,4,1.717304
-63.614716,23,1.719089
-88.877075,8,1.720941
-93.36376,5,1.720963
-99.44796,2,1.724494
-90.83207,5,1.724516
-101.0,2,1.724529
-98.09658,2,1.727884
-92.00421,7,1.731323
-104.930504,10,1.731345
-90.63581,9,1.734709
-101.0,2,1.736563
-94.532616,6,1.736585
-100.08573,5,1.741714
-80.27727,9,1.74174
-103.0,4,1.743478
-101.0,2,1.745363
-93.49747,5,1.745386
-88.17596,7,1.747535
-96.95458,4,1.754224
-92.959724,8,1.755985
-94.99576,3,1.759385
-97.73742,3,1.761147
-101.0,2,1.762958
-72.25909,12,1.766306
-69.97405,23,1.769794
-91.90006,4,1.769816
-87.89149,6,1.771576
-101.0,2,1.773449
