#{"t_start": 1732828023.837874, "env_id": "None"}
r,l,t
-56.0,12,2.010778
-60.0,11,2.0108
-84.0,5,2.010812
-64.0,10,2.012677
-84.0,5,2.012698
-96.0,2,2.014454
-92.0,3,2.016221
-96.0,2,2.017979
-76.0,7,2.019753
-92.0,3,2.023279
-80.0,6,2.023301
-88.0,4,2.026781
-68.0,9,2.026802
-92.0,3,2.031778
-76.0,7,2.03526
-76.0,7,2.035282
-44.0,15,2.038797
-76.0,7,2.038819
-92.0,3,2.040793
-92.0,3,2.040814
-84.0,5,2.040826
-96.0,2,2.044158
-36.0,17,2.046029
-88.0,4,2.04605
-96.0,2,2.051381
-84.0,5,2.051403
-80.0,6,2.051414
-84.0,5,2.051423
-88.0,4,2.053171
-88.0,4,2.058147
-76.0,7,2.059902
-96.0,2,2.06226
-84.0,5,2.062283
-76.0,7,2.064095
-68.0,9,2.067569
-88.0,4,2.067591
-96.0,2,2.071169
-80.0,6,2.073198
-92.0,3,2.073219
-80.0,6,2.073231
-52.0,13,2.074975
-96.0,2,2.076781
-88.0,4,2.078707
-96.0,2,2.07873
-96.0,2,2.082263
-84.0,5,2.082284
-92.0,3,2.084037
-84.0,5,2.085903
-96.0,2,2.085924
-96.0,2,2.089466
-96.0,2,2.089487
-84.0,5,2.092937
-96.0,2,2.092958
-92.0,3,2.0947
-96.0,2,2.096671
-32.0,18,2.096693
-96.0,2,2.096704
-64.0,10,2.100058
-84.0,5,2.103647
-88.0,4,2.103668
-36.0,17,2.103679
-96.0,2,2.107016
-76.0,7,2.108768
-88.0,4,2.110517
-84.0,5,2.112284
-64.0,10,2.114042
-88.0,4,2.115798
-96.0,2,2.117564
-84.0,5,2.119577
-76.0,7,2.119599
-96.0,2,2.11961
-84.0,5,2.121385
-48.0,14,2.124882
-88.0,4,2.124903
-88.0,4,2.126661
-84.0,5,2.128416
-92.0,3,2.130198
-96.0,2,2.132183
-80.0,6,2.132205
-88.0,4,2.132216
-96.0,2,2.134094
-88.0,4,2.134115
-96.0,2,2.135875
-92.0,3,2.137638
-92.0,3,2.139397
-88.0,4,2.141155
-52.0,13,2.142905
-76.0,7,2.144753
-84.0,5,2.144774
-84.0,5,2.148252
-96.0,2,2.148274
-88.0,4,2.153547
-96.0,2,2.15357
-84.0,5,2.153582
-92.0,3,2.155429
-96.0,2,2.157317
-96.0,2,2.157338
-60.0,11,2.159327
-92.0,3,2.159348
-68.0,9,2.15936
-96.0,2,2.162952
-84.0,5,2.165013
-92.0,3,2.165036
-84.0,5,2.16684
-80.0,6,2.168715
-80.0,6,2.170538
-84.0,5,2.172354
-84.0,5,2.174114
-88.0,4,2.177933
-96.0,2,2.177956
-88.0,4,2.180057
-80.0,6,2.180078
-76.0,7,2.180091
-68.0,9,2.181904
-96.0,2,2.183717
-92.0,3,2.185529
-92.0,3,2.187338
-96.0,2,2.189263
-80.0,6,2.189284
-76.0,7,2.191035
-84.0,5,2.19279
-92.0,3,2.194782
-92.0,3,2.194804
-72.0,8,2.194815
-96.0,2,2.196571
-96.0,2,2.199942
-80.0,6,2.201817
-88.0,4,2.201838
-64.0,10,2.205204
-76.0,7,2.207083
-88.0,4,2.207105
-84.0,5,2.210466
-92.0,3,2.215509
-72.0,8,2.215531
-76.0,7,2.218996
-76.0,7,2.219018
-96.0,2,2.222404
-36.0,17,2.224156
-56.0,12,2.225917
-84.0,5,2.227679
-68.0,9,2.231041
-88.0,4,2.234392
-92.0,3,2.236269
-76.0,7,2.236291
-44.0,15,2.241371
-60.0,11,2.241393
-60.0,11,2.244864
-84.0,5,2.244885
-80.0,6,2.246638
-88.0,4,2.24853
-96.0,2,2.248552
-96.0,2,2.252154
-72.0,8,2.257155
-48.0,14,2.260638
-72.0,8,2.260659
-96.0,2,2.264111
-80.0,6,2.264133
-84.0,5,2.265919
-64.0,10,2.267662
-92.0,3,2.269524
-48.0,14,2.273167
-96.0,2,2.273189
-84.0,5,2.273201
-96.0,2,2.276814
-76.0,7,2.280381
-72.0,8,2.280403
-84.0,5,2.282148
-80.0,6,2.283899
-48.0,14,2.285698
-88.0,4,2.28748
-96.0,2,2.290886
-88.0,4,2.292761
-76.0,7,2.292782
-76.0,7,2.294536
-92.0,3,2.296347
-52.0,13,2.299913
-92.0,3,2.299934
-96.0,2,2.299947
-96.0,2,2.303284
-92.0,3,2.305151
-76.0,7,2.305172
-88.0,4,2.306927
-48.0,14,2.308902
-96.0,2,2.308923
-96.0,2,2.308934
-64.0,10,2.310663
-84.0,5,2.312421
-92.0,3,2.315752
-84.0,5,2.317505
-96.0,2,2.320891
-68.0,9,2.322659
-76.0,7,2.324419
-80.0,6,2.326157
-92.0,3,2.328036
-60.0,11,2.328057
-72.0,8,2.334593
-80.0,6,2.337933
-92.0,3,2.339682
-96.0,2,2.341639
-28.0,19,2.34166
-68.0,9,2.341671
-96.0,2,2.345028
-56.0,12,2.348411
-80.0,6,2.352226
-92.0,3,2.355592
-24.0,20,2.370653
-60.0,11,2.370692
-88.0,4,2.375457
-84.0,5,2.375499
-96.0,2,2.379626
-52.0,13,2.383286
-56.0,12,2.387304
-84.0,5,2.391301
-88.0,4,2.398788
-92.0,3,2.398812
-76.0,7,2.402785
-88.0,4,2.402808
-92.0,3,2.404675
-68.0,9,2.404696
-96.0,2,2.406491
-60.0,11,2.40835
-92.0,3,2.408371
-92.0,3,2.410265
-96.0,2,2.410286
